S No,Product Name,Category,Available Sizes,Description,Ingredients,Nutritional Information,Country of Origin,Storage Instructions,Benefits,Manufacturer Details,Pack Size,FSSAI Number,SKU Code
1,Pavithram Sesame Oil,Edible Oil,"200ml, 500ml, 1L, 2L,5L","Pavithram Sesame Oil is made from carefully selected sesame seeds and processed under strict quality standards to retain its natural aroma, flavour, and nutritional value. Ideal for traditional South Indian cooking, pickles, and everyday use.",100% Sesame Oil,"Energy: 884 kcal, Total Fat: 100g, Saturated Fat: 14g, Monounsaturated Fat: 40g, Polyunsaturated Fat: 42g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Rich in natural antioxidants • Suitable for traditional cooking • Enhances flavour and aroma • Contains healthy fats • Ideal for pickles and South Indian dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",1 Litre,,
2,Pavithram roasted coconut oil,Edible Oil,"200ml, 500ml, 1L, 2L, 5L","Pavithram Coconut Oil is a premium-quality, 100% pure coconut oil. Naturally rich in nutrients and aroma, it is ideal for cooking, hair care, and skincare, offering purity and trusted quality .",100% Coconut Oil,"Energy: 897 kcal, Total Fat: 99.7g, Saturated Fat: 91.7g, Monounsaturated Fat: 6.3g, Polyunsaturated Fat: 1.8 g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.","•Rich in natural healthy fats• Suitable for everyday cooking• Enhances flavour and aroma
• Supports traditional recipes","Pavithram Foods Pvt. Ltd., Kerala, India ",,,
3,Mustard oil,Edible Oil,"200ml, 400 ml , 500ml, 1L, 2L ,5L","Pavithram Mustard Oil is a premium, traditional cooking oil made from high-quality mustard seeds, offering a pungent aroma and sharp, authentic flavor",100% Mustard Oil,"Energy: 884 kcal, Total Fat: 100g, Saturated Fat: 11.6g, Monounsaturated Fat: 59.2g, Polyunsaturated Fat: 21.2g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",•Rich in natural antioxidants • Suitable for cooking and pickling • Enhances flavour and aroma • Contains healthy fats • Ideal for traditional Indian dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
4,Rice bran oil,Edible Oil,"200ml, 500ml, 1L, 2L","Pavithram Rice Bran Oil is a heart-healthy, physically refined cooking oil extracted from the nutrient-dense outer brown layer of rice (the bran). Known for its mild flavor and high smoke point.",100% Rice bran oil,"Energy: 900 kcal, Total Fat: 100g, Saturated Fat : 24g, Monounsaturated Fat: 42g, Polyunsaturated Fat: 34 g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Rich in antioxidants• Light and neutral taste• Contains healthy fats• Versatile for various dishes• Suitable for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
5,Cold pressed coconut oil,Edible Oil, 1L,"Pavithram Virgin Coconut Oil is  pure oil extracted from fresh coconut milk . Known for its mild, natural aroma and rich nutritional profile, it is widely used  for healthy cooking, massages, deep hair conditioning, and natural skin moisturizing.",100% Coconut Oil,"Energy: 897 kcal, Total Fat: 99.7g, Saturated Fat: 91.7g, Monounsaturated Fat: 6.3g, Polyunsaturated Fat: 1.8 g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Rich in natural antioxidants• Cold-pressed to retain purity• Contains healthy fats• Enhances flavour and aroma• Suitable for cooking and wellness use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
6,Groundnut oil,Edible Oil," 500ml, 1L","Pavithram Groundnut Oil is a premium, pure cooking oil extracted from high-quality, hand-picked groundnuts, it is a heart-healthy, cholesterol-free oil rich in monounsaturated fats and natural antioxidants",100% Groundnut  Oil,"Energy: 884 kcal, Total Fat: 99.7g, Saturated Fat: 24g, Monounsaturated Fat: 43g, Polyunsaturated Fat: 33g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",Naturally rich in healthy fats• Light and versatile for cooking• Adds a mild nutty flavour• Suitable for high-heat cooking• Ideal for daily use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
7,Sunflower oil ,Edible Oil,"750ml, 2L, 5L",Pavithram Sunflower Oil is processed from quality sunflower seeds under strict quality standards to deliver a light taste and consistent quality. Suitable for everyday cooking and a variety of culinary applications.,Sunflower oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Light and versatile oil • Suitable for everyday cooking • Mild taste and aroma • Consistent quality • Ideal for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
8,Neem oil,Non edible oil,100 ml,Pavithram Neem Oil is prepared from quality neem seeds and processed to maintain its natural properties and purity. Suitable for traditional and external applications.,Neem oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Made from quality neem seeds • Traditional utility oil • Processed for purity  • Suitable for various applications,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
9,Eucalptus oil,Non edible oil,100 ml,Pavithram Eucalyptus Oil is extracted from quality eucalyptus leaves and processed under strict quality standards to ensure purity and freshness. Suitable for traditional and external use.,Eucalyptus oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",Refreshing natural aroma • Processed for purity • Easy to use • Traditional utility oil • Suitable for external applications,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
10,Cold pressed sesame oil,Edible Oil," 500ml, 1L",Pavithram Cold Pressed Sesame Oil is extracted from premium-quality sesame seeds using the cold-press method to retain its natural flavour and aroma. Ideal for traditional cooking and everyday use.,Sesame oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Cold pressed for natural goodness • Rich in natural antioxidants • Enhances flavour and aroma • Contains healthy fats • Ideal for traditional cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
11,Cold pressed groundnut oil,Edible Oil," 500ml, 1L",Pavithram Cold Pressed Groundnut Oil is extracted from quality groundnuts using the cold-press method to preserve its natural taste and aroma. Suitable for everyday cooking and traditional recipes.,Groundnut oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Cold pressed for natural goodness • Rich in natural antioxidants • Contains healthy fats • Mild nutty flavour • Suitable for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
12,Lamp oil,Non edible oil,1 L,"Pavithram Lamp Oil is specially formulated, non-edible oil. Designed specifically for traditional rituals which bring peace, health, and positive energy.",Rice bran oil,-,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",•Clean and steady burning• Suitable for daily rituals        • Helps maintain a bright flame• Easy to use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
13,Cow ghee,Edible,"100ml,200ml, 500ml, 1L","Pavithram Cow Ghee is  traditionally prepared clarified butter known for its rich aroma, golden color, and granular texture.",Milk fat,"Energy: 897 kcal, Total Fat: 99.70g,  Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",•Rich in healthy fats• Supports a balanced diet • Easy to digest• Provides natural energy.,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
14,Puttupodi,Breakfast products,1 kg,Pavithram Puttupodi is made from carefully selected rice and processed to deliver the perfect texture for soft and delicious puttu. Ideal for traditional breakfast preparations.,white rice flour,"Energy: 145 kcal, Total Fat:0.5g,  Carbohydrates: 32g, Protein: 3g, Cholesterol: 0mg ,sodium 0:mg,Dietary fiber :1 g ,(per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality rice • Easy to prepare • Delivers soft texture • Ideal for breakfast • Suitable for traditional recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
15,Roasted Rava,Breakfast products,1 kg,"Pavithram Roasted Rava is carefully roasted for convenience and consistent quality. Perfect for preparing upma, kesari, and other traditional dishes.",wheat,"Energy: 349 kcal, Total Fat:1g,  Carbohydrates: 75g, Protein: 10g, Cholesterol: 0mg ,sodium 21:mg,Dietary fiber :1 g ,(per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Ready to use • Saves preparation time • Consistent texture • Versatile ingredient • Ideal for traditional dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
16,Appam Podi,Breakfast products,1 kg,Pavithram Appam Podi is made from quality rice and finely processed to help prepare soft and fluffy appams. Ideal for authentic breakfast recipes.,white rice flour,"Energy: 145 kcal, Total Fat:0.5g, Saturated fat : 0g,Trans fat: 0 mg  Carbohydrates: 32g, Protein: 3g, Cholesterol: 0mg ,sodium: 0 mg,Dietary fiber :1 g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from selected rice • Easy to prepare • Helps achieve soft appams • Consistent quality • Ideal for breakfast recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
17,Pathiri/Idiyappam Podi,Breakfast products,1 kg,Pavithram Pathiri/Idiyappam Podi is finely milled from selected rice to ensure smooth texture and excellent results. Suitable for preparing soft pathiris and idiyappams.,white rice flour,"Energy: 145 kcal, Total Fat:0.5g, Saturated fat : 0g,Trans fat: 0 mg  Carbohydrates: 32g, Protein: 3g, Cholesterol: 0mg ,sodium: 0 mg,Dietary fiber :1 g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Finely processed rice flour • Easy to prepare • Delivers smooth texture • Suitable for traditional dishes • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
18,Roasted Red Rice Flour,Breakfast products,1 kg,Pavithram Roasted Red Rice Flour is prepared from premium red rice and roasted to enhance its flavour and usability. Ideal for traditional Kerala recipes.,Red rice flour,,India,"Store in a cool, dry place away from direct sunlight.",• Made from quality red rice • Rich in natural goodness   • Convenient to use  • Suitable for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
19,UnRoasted White Rice Flour,Breakfast products,1 kg,Pavithram UnRoasted White Rice Flour is finely ground from selected rice to maintain its natural quality and freshness. Suitable for a variety of traditional dishes.,white rice flour,,India,"Store in a cool, dry place away from direct sunlight.",• Finely milled for consistency • Versatile ingredient • Easy to use • Suitable for traditional recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
20,White Corn Flour,Breakfast products,1 kg,"Pavithram White Corn Flour is made from carefully selected corn and finely processed for consistent quality. Ideal for baking, cooking, and thickening recipes.",Corn flour,,India,"Store in a cool, dry place away from direct sunlight.",• Finely processed texture • Versatile ingredient • Suitable for baking and cooking • Easy to use • Consistent quality,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
21,Idly Rava,Breakfast products,1 kg,Pavithram Idly Rava is processed from quality rice to help prepare soft and fluffy idlis. A convenient choice for everyday breakfast preparation.,Idli rava,"Energy: 145 kcal, Total Fat:0.3g, Saturated fat : 0.1g,Trans fat:0 g, Carbohydrates: 32g, Protein:3g, Cholesterol: 0mg ,sodium: 0mg ,Dietary fiber : 0.5g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Helps prepare soft idlis • Easy to use • Consistent texture • Suitable for breakfast recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
22,Samba Wheat Rava,Breakfast products,1 kg,Pavithram Samba Wheat Rava is made from selected wheat grains and processed under quality standards. Ideal for wholesome breakfast and meal preparations.,Wheat,"Energy: 145 kcal, Total Fat:0.8g, Saturated fat : 0.2g,Trans fat:0 g, Carbohydrates: 29 g, Protein:5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :4 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality wheat • Rich in natural goodness • Versatile ingredient • Suitable for traditional dishes • Ideal for daily use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
23,Upma Rava,Breakfast products,1 kg,Pavithram Upma Rava is carefully processed for a uniform texture and great taste. Perfect for preparing delicious upma and other savoury dishes.,Wheat,,India,"Store in a cool, dry place away from direct sunlight.",• Consistent grain texture • Easy to prepare • Versatile ingredient • Suitable for savoury dishes • Ideal for breakfast recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
24,Idly Flour,Breakfast products,1 kg,Pavithram Idly Flour is finely ground from quality ingredients to ensure soft and fluffy idlis. Suitable for convenient home cooking.,"Rice, urad dal,fenugreek","Energy: 140 kcal, Total Fat:0.6g, Saturated fat : 0.1g,Trans fat:0 g, Carbohydrates: 28g, Protein: 5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :2 g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",•Easy to prepare • Helps achieve soft idlis • Consistent quality • Suitable for breakfast recipes • Convenient for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
25,Dosa Flour,Breakfast products,1 kg,Pavithram Dosa Flour is prepared from selected ingredients to deliver tasty and crispy dosas. Ideal for everyday breakfast preparations.,"Rice, urad dal,fenugreek",,India,"Store in a cool, dry place away from direct sunlight.",• Easy to prepare • Helps make crispy dosas • Consistent texture • Suitable for breakfast recipes • Convenient for daily cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
26,Ragi Flour,Breakfast products,1 kg,Pavithram Ragi Flour is made from carefully selected finger millet and processed to retain its natural goodness. Suitable for a variety of traditional and healthy recipes.,Ragi,"Energy: 140 kcal, Total Fat:1 g, Saturated fat : 0.2g,Trans fat: 0 mg  Carbohydrates: 29g, Protein: 3g, Cholesterol: 0mg ,sodium : 5mg ,Dietary fiber :3.5g ,(per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality finger millet • Rich in natural goodness • Versatile ingredient • Suitable for various recipes • Ideal for daily use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
27,Whole Wheat Flour,Breakfast products,1 kg,"Pavithram Whole Wheat Flour is milled from quality wheat grains for freshness and consistency. Ideal for chapatis, rotis, and other everyday dishes.",Wheat flour,,India,"Store in a cool, dry place away from direct sunlight.",• Made from selected wheat • Finely milled for consistency • Suitable for everyday cooking • Versatile ingredient • Ideal for chapatis and rotis,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
28,Chemba Idiyappam Podi,Breakfast products,1 kg,Pavithram Chemba Idiyappam Podi is made from selected red rice and finely processed for smooth and soft idiyappams. Perfect for traditional Kerala cuisine.,Red rice flour,"Energy: 140 kcal, Total Fat:0.8 g, Saturated fat : 0.2g,Trans fat: 0 mg  Carbohydrates: 30 g, Protein: 3g, Cholesterol: 0mg ,sodium : 5mg ,Dietary fiber :2 g ,(per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality red rice • Easy to prepare • Delivers soft texture • Suitable for traditional recipes • Ideal for breakfast dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
29,Chemba Puttu Podi,Breakfast products,1 kg,Pavithram Chemba Puttu Podi is prepared from premium red rice to deliver authentic taste and texture. Ideal for making soft and flavourful puttu.,Red rice flour,"Energy: 140 kcal, Total Fat:0.8g, Saturated fat : 0.2g,Trans fat: 0 mg  Carbohydrates: 30g, Protein: 3g, Cholesterol: 0mg ,sodium 5:mg,Dietary fiber :2 g ,(per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from selected red rice • Easy to prepare • Authentic taste and texture • Suitable for traditional recipes • Ideal for breakfast dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
30,Red Rice Flour,Breakfast products,1 kg,Pavithram Red Rice Flour is finely ground from quality red rice and processed to maintain its natural characteristics. Suitable for a variety of traditional recipes.,Red rice flour,,India,"Store in a cool, dry place away from direct sunlight.",• Made from quality red rice • Rich in natural goodness • Versatile ingredient • Suitable for traditional recipes • Easy to use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
31,White Rice Flour,Breakfast products,1 kg,"Pavithram White Rice Flour is made from carefully selected rice and finely milled for consistent quality. Ideal for cooking, baking, and traditional preparations.",White rice flour,,India,"Store in a cool, dry place away from direct sunlight.",• Finely milled for consistency • Versatile ingredient • Easy to use • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
32,Broken Wheat,Breakfast products,1 kg,"Pavithram Broken Wheat is processed from quality wheat grains for a wholesome and versatile ingredient. Suitable for porridge, upma, and other everyday dishes.",Wheat,"Energy: 385 kcal, Total Fat: 7g, Saturated fat : 1g,Trans fat: 0 mg  Carbohydrates: 68 g, Protein: 12g, Cholesterol: 0mg ,sodium : 0.02 mg,Dietary fiber :2, sodium : 0.02 g,(per 100 g)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality wheat • Versatile ingredient • Suitable for wholesome meals • Easy to prepare • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
33,Ragi Whole,Breakfast products,1 kg,"Pavithram Ragi Whole consists of carefully selected whole finger millet grains processed under strict quality standards. Ideal for traditional recipes, flour preparation, and wholesome meals.",Ragi,,India,"Store in a cool, dry place away from direct sunlight.",• Carefully selected grains • Rich in natural goodness • Versatile ingredient • Suitable for traditional recipes • Ideal for daily use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
34,Lime Pickle,Pickle,400 g,Pavithram Lime Pickle is prepared using carefully selected limes and traditional spices to deliver a tangy and authentic taste. A perfect accompaniment to everyday meals.,"Lemon (45.0%), Vegetable Oil (15.0%), Salt (12.0%), Synthetic Vinegar (8.0%) Chilli Powder (5.0%), Sugar (4.0%), Ginger (3.5%), Garlic (3.0%), Mustard Seeds (2.0%), Fenugreek (1.0%), Turmeric (0.8%), Asafoetida (0.5%) , and Sodium Benzoate (0.2%) .","Energy: 102 kcal, Total Fat:2.1g, Saturated fat : 0.46g,Trans fat: 0 mg  Carbohydrates: 20g, Protein: 0.89g, Cholesterol: 0mg ,sodium 1001:mg,Dietary fiber :0.5 g ,Total sugars:.50g,Added sugars:0.10g(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Tangy and flavourful taste • Traditional recipe • Enhances meal experience • Ideal with rice dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
35,White Lime Pickle,Pickle,400 g,Pavithram White Lime Pickle is made from quality limes and blended with selected ingredients for a distinctive flavour. Ideal for enhancing traditional meals.,"Lemon Pieces (40.0%), Sugar (15.0%), Dates (12.0%), Vegetable Oil (10.0%), Salt (8.0%), Synthetic Vinegar (6.0%) , Chilli Powder (2.5%), Ginger (2.0%), Green Chilli (1.5%), Mustard Seeds (1.0%), Fenugreek (0.8%), Turmeric (0.5%), Asafoetida (0.5%) and Sodium Benzoate (0.2%) .","Energy: 53 kcal, Total Fat:3.5g, Saturated fat : 0.5g,Trans fat: 0 mg  Carbohydrates: 5g, Protein: 0.5g, Cholesterol: 0mg ,sodium :2200mg,Dietary fiber :1 g ,Total sugars:0.5g,Added sugars:0g(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Distinctive flavour • Traditional preparation • Complements everyday meals • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
36,Lime Hot & Sweet,Pickle,400 g,Pavithram Lime Hot & Sweet Pickle combines the tanginess of lime with a balanced blend of sweetness and spices. Perfect for adding a unique taste to meals.,"Lemon Pieces (40.0%), Sugar (15.0%), Dates (12.0%), Vegetable Oil (10.0%), Salt (8.0%), Synthetic Vinegar (6.0%) , Chilli Powder (2.5%), Ginger (2.0%), Green Chilli (1.5%), Mustard Seeds (1.0%), Fenugreek (0.8%), Turmeric (0.5%), Asafoetida (0.5%) and Sodium Benzoate (0.2%) .",,India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Sweet and tangy taste • Balanced blend of spices • Rich flavour profile • Enhances meal experience • Ideal with traditional dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
37,Cut Mango pickle,Pickle,400 g,Pavithram Cut Mango Pickle is prepared from handpicked raw mangoes and traditional spices for an authentic flavour. A delicious addition to everyday dining.,"Mango Pieces (50.0%), Vegetable Oil (15.0%), Salt (12.0%), Synthetic Vinegar (8.0%), Chilli Powder (5.5%), Mustard Seeds (4.0%), Fenugreek (3.0%), Asafoetida (2.0%) , Turmeric (0.3%), and Sodium Benzoate (0.2%) .","Energy: 100.12 kcal, Total Fat:2.01g, Saturated fat : 0.47g,Trans fat: 0.1 mg  Carbohydrates: 20.05g, Protein: 0.91g, Cholesterol: 0mg ,sodium:999.87mg,Dietary fiber :0.50g ,Total sugars:.50g,Added sugars:0.10g(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Authentic traditional taste • Rich in flavour • Complements everyday meals • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
38,Tender Mango pickle,Pickle,400 g,Pavithram Tender Mango Pickle is made from carefully selected tender mangoes and blended with aromatic spices. Ideal for traditional Kerala-style meals.,"Tender Mango (48.0%), Vegetable Oil (12.0%), Salt (12.0%), Synthetic Vinegar (10.0%) Chilli Powder (6.0%), Sugar (3.5%), Green Chilli (2.5%), Ginger (2.5%), Mustard Seeds (1.5%), Asafoetida (1.0%) , Fenugreek (0.5%), Turmeric Powder (0.3%), and Sodium Benzoate (0.2%) .","Energy:88 kcal, Total Fat:4g, Saturated fat : 0g,Trans fat: 0 mg  Carbohydrates: 12g, Protein: 1g, Cholesterol: 0mg ,sodium:2200 mg,Dietary fiber : 3g ,Total sugars:.0g,Added sugars:0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from tender mangoes • Traditional recipe • Rich and flavourful taste • Enhances meal experience • Ideal with every dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
39,White Mango pickle,Pickle,400 g,Pavithram White Mango Pickle is crafted from quality mangoes and selected ingredients for a mild and distinctive taste. Suitable for a variety of dishes.,"MANGO PIECES,SALT,GREEN CHILLI,SESAME OIL,MUSTARD GINGER,FENUGREEK,ASAFOETIDA,TURMERIC POWDER,NON-VINEGAR,CURRY LEAVES.",,India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from quality mangoes • Mild and distinctive taste • Traditional preparation • Complements various dishes • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
40,Ginger pickle,Pickle,400 g,Pavithram Ginger Pickle is prepared using fresh ginger and traditional spices to create a flavourful accompaniment. Perfect for enhancing everyday meals.,"Ginger (45.0%), Vegetable Oil (12.0%), Salt (11.0%), Sugar (10.0%), Synthetic Vinegar (8.0%) , Chilli Powder (6.0%), Green Chilli (3.0%), Mustard Seeds (2.0%), Asafoetida (1.5%) , Fenugreek (0.8%), Turmeric Powder (0.5%), and Sodium Benzoate (0.2%) .","Energy:54 kcal, Total Fat:2.5g, Saturated fat : 0g,Trans fat: 0 mg  Carbohydrates: 7g, Protein: 1g, Cholesterol: 0mg ,sodium:990mg,Dietary fiber :0.4g ,Total sugars:.0g,Added sugars:0.5g(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from fresh ginger • Rich and flavourful taste • Traditional recipe • Enhances meal experience • Ideal with everyday meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
41,Garlic pickle,Pickle,400 g,Pavithram Garlic Pickle is made from selected garlic cloves and blended with spices for a rich and savoury taste. Ideal for serving with rice and curries.,"Garlic (46.0%), Vegetable Oil (15.0%), Salt (12.0%), Synthetic Vinegar (8.0%) , Chilli Powder (7.0%), Sugar (5.5%), Mustard Seeds (3.0%), Asafoetida (2.0%) , Fenugreek (1.3%), and Sodium Benzoate (0.2%) .","Energy:180.06 kcal, Total Fat:9.97g, Saturated fat : 1.45g,Trans fat: 0.01mg  Carbohydrates: 20.04g, Protein: 2.01g, Cholesterol: 0mg ,sodium:999.85mg,Dietary fiber :0.50g ,Total sugars:.2.15g,Added sugars:0.52g(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Rich and savoury taste • Traditional preparation • Complements rice dishes • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
