S No,Product Name,Category,Available Sizes,Description,Ingredients,Nutritional Information,Country of Origin,Storage Instructions,Benefits,Manufacturer Details,Pack Size,FSSAI Number,SKU Code
83,Urad Split,Pulse,500 g,"Pavithram Red Masoor Dal is processed from quality lentils to ensure freshness and purity. Ideal for preparing soups, dals, and traditional dishes.",Urad Split,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Rich in dietary fibre • Quick and easy to cook • Suitable for various recipes • Ideal for daily meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
84,Red Kidney beans (Rajma),Pulse,500 g,Pavithram Rajma is sourced from quality kidney beans and processed under strict quality standards. Perfect for traditional and contemporary recipes.,Red Kidney beans (Rajma),,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Source of protein • Supports wholesome meals • Suitable for traditional dishes • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
85,Horse Gram,Pulse,500 g,Pavithram Horse Gram is processed from premium-quality grains to retain freshness and natural goodness. Ideal for traditional recipes and everyday cooking.,Horse Gram,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in dietary fibre • Source of essential nutrients • Naturally nutritious • Suitable for traditional recipes • Ideal for balanced meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
86,Mustard Seed,Pulse,100 g,"Pavithram Mustard Seeds are carefully processed to deliver freshness, aroma, and authentic flavour. Ideal for seasoning and tempering dishes.",Mustard Seed,,India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Essential seasoning ingredient • Enhances taste • Suitable for various cuisines • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
87,Fennel,Pulse,100 g,Pavithram Fennel Seeds are selected for quality and freshness to provide a pleasant aroma and flavour. Suitable for cooking and spice blends.,Fennel,,India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Enhances taste naturally • Versatile spice ingredient • Suitable for various recipes • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
88,Fenugreek,Pulse,100 g,Pavithram Fenugreek Seeds are processed under quality standards to ensure freshness and purity. Ideal for seasoning and traditional recipes.,Fenugreek,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Distinctive flavour • Traditional kitchen essential • Suitable for seasoning • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
89,Sago ,Pulse,500 g,"Pavithram Sago is processed from quality ingredients to deliver consistency and freshness. Suitable for desserts, snacks, and traditional recipes.",Sago ,,India,"Store in a cool, dry place away from direct sunlight.",• Light and versatile ingredient • Easy to prepare • Suitable for various recipes • Consistent quality • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
90,Soya  Big,Pulse,500 g,Pavithram Soya Big is made from quality soy protein and processed for excellent texture and consistency. Suitable for a variety of dishes.,Soya  Big,,India,"Store in a cool, dry place away from direct sunlight.",•Rich source of protein • Versatile ingredient • Easy to prepare • Suitable for various dishes • Ideal for wholesome meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
91,Soya medium,Pulse,1 kg,"Pavithram Soya Medium is processed from quality soy protein to ensure consistency and taste. Perfect for curries, gravies, and everyday cooking.",Soya medium,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Easy to prepare • Versatile ingredient • Suitable for daily cooking • Ideal for balanced meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
92,Black Sesame Seed,Pulse,100 g,Pavithram Black Sesame Seeds are sourced from quality seeds and processed to maintain freshness and flavour. Suitable for traditional recipes and garnishing.,Black Sesame Seed,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Source of essential nutrients • Distinctive flavour • Suitable for various recipes • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
93,Green Moong Dal Split Yellow,Pulse,500 g,Pavithram Green Moong Dal Split Yellow is processed from quality green gram to ensure freshness and consistency. Suitable for a variety of traditional recipes.,Green Moong Dal Split Yellow,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Rich in dietary fibre • Easy to cook • Suitable for various dishes • Ideal for wholesome meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
94,Yellow Masoor Dal ,Pulse,500 g,"Pavithram Yellow Masoor Dal is prepared from premium-quality lentils and processed under strict quality standards. Perfect for soups, dals, and everyday cooking.",Yellow Masoor Dal ,,India,"Store in a cool, dry place away from direct sunlight.",• Naturally nutritious • Rich in dietary fibre • Quick cooking ingredient • Suitable for daily meals • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
95,Tamarind,Tamarind,"100 g ,200 g,500 g,1 kg,2 kg","Pavithram Tamarind is sourced from quality tamarind and processed under strict quality standards to retain its natural flavour and freshness. Ideal for preparing a variety of traditional dishes, curries, and chutneys.","TAMARIND ,SODIUM CHLORIDE","Energy: 327 kcal, Total Fat: 1 g,  Carbohydrates: 0g, Protein: 4g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Rich and tangy flavour • Essential cooking ingredient • Enhances taste naturally • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
96,Kokum,Kokum,200 g,"Pavithram Kokum is sourced from quality kokum and processed to retain its natural flavour and freshness. Ideal for traditional recipes, curries, and beverages.",CAMBODGE,"Energy: 38.09 kcal, Total Fat: 2.2 g,  Carbohydrates: 13.4 g, Protein: 0.85 g, Cholesterol: 1mg, Dietary fibre 0.5 g(per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Rich and distinctive flavour • Traditional culinary ingredient • Enhances taste naturally • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
97,Vinegar,vinegar,"500 ml, 1 L","Pavithram Vinegar is prepared under strict quality standards to deliver consistent taste and quality. Suitable for cooking, pickling, and seasoning.","Water 95% , Acetic acid","Energy: 66 KJ, Total Fat: 0 g,  Carbohydrates: 0g, Protein: 0 g , sodium 4 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Versatile kitchen ingredient • Enhances flavour naturally • Suitable for cooking and pickling • Easy to use • Ideal for everyday recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
98,Asafoetida powder,Asafoetida,"50g,100 g",Pavithram Asafoetida Powder is processed from quality ingredients to provide a strong aroma and authentic flavour. Ideal for seasoning traditional dishes.,"Asafoetida (70 %), Wheat Flour, Arabic Gum","Energy: 30 KJ, Total Fat: 0 g,  Carbohydrates: 3g, Protein: 0 g , sodium 0 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Enhances taste naturally • Essential seasoning ingredient • Suitable for various cuisines • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
99,Asafoetida cake,Asafoetida ,"50 g , 100 g",Pavithram Asafoetida Cake is prepared to deliver authentic aroma and flavour for traditional cooking. Suitable for seasoning a variety of dishes.,"Asafoetida (70 %), Wheat Flour, Arabic Gum","Energy: 30 KJ, Total Fat: 0 g,  Carbohydrates: 3g, Protein: 0 g , sodium 0 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Strong and authentic flavour • Rich aroma • Traditional cooking essential • Enhances taste naturally • Suitable for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
100,Ginger garlic paste,Ginger garlic paste,300 g,Pavithram Ginger Garlic Paste is made using quality ginger and garlic for convenience and consistent flavour. Ideal for a wide range of culinary preparations.,,,India,"Store in a cool, dry place away from direct sunlight.",• Convenient to use • Rich flavour and aroma • Saves preparation time • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
101,Coffee ,Coffee ,100 g,Pavithram Coffee is prepared from quality coffee beans to deliver a rich aroma and satisfying taste. Perfect for enjoying a refreshing cup any time of the day.,Coffee,,India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Refreshing beverage • Consistent quality • Easy to prepare ,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
102,Tea,Tea,100 g,Pavithram Tea is sourced from quality tea leaves and processed to provide a refreshing taste and pleasant aroma. Suitable for everyday consumption.,Tea,,India,"Store in a cool, dry place away from direct sunlight.",• Refreshing taste • Rich aroma • Consistent quality • Easy to prepare,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
103,Chukkukapi,Chukkukapi,150 g,Pavithram Chukkukapi is a traditional blend prepared from quality ingredients to deliver authentic flavour and aroma. Ideal for enjoying a warm and comforting beverage.,"Palm Jaggery, Dried Ginger,
Coriander, Coffee, Black Pepper, Cumin, and
Long Pepper.","Energy: 202 KJ, Total Fat: 2 g, Saturated fat : 1 g ,Carbohydrates: 48 g, Protein: 2 g , sodium 36 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Traditional beverage mix • Rich flavour and aroma • Easy to prepare • Authentic taste,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
104,Nannari sarbath ,Nannari sarbath ,750 ml,Pavithram Nannari Sarbath is prepared using quality ingredients to deliver a refreshing and flavourful drink experience. Perfect for serving chilled.,"Sugar, Water, Glucose, Sarsaparilla Extract, (0.4%) Acidity Regulator Emulsifier(INS415), and Caramel(E 150 a).","Energy: 48 kcal, Total Fat:0 g, Saturated fat :0 g,Trans fat:0 g, Carbohydrates: 12g, Protein: 0 g, Cholesterol: 0mg ,sodium: 0 mg ,Dietary fiber :0g Total sugar :12 g (per seving)",India,"Store in a cool, dry place away from direct sunlight.",• Refreshing flavour • Easy to prepare • Traditional beverage • Pleasant aroma • Ideal for serving chilled,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
105,Nellika kanthari ,Nellika kanthari ,750 ml,Pavithram Nellika Kanthari is crafted using quality gooseberries and kanthari chillies for a unique blend of flavours. Ideal as a flavourful accompaniment to meals.,"Gooseberry,brids eye chillies,ginger,curryleaf","Energy: 18 kcal, Total Fat:0 g, Saturated fat :0 g,Trans fat:0 g, Carbohydrates: 2g, Protein: 0 g, Cholesterol: 0mg ,sodium: 0 mg ,Dietary fiber :0.5g Total sugar :0.6 g (per seving)",India,"Store in a cool, dry place away from direct sunlight.",• Unique flavour combination • Traditional preparation • Rich and tangy taste • Enhances meal experience • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
106,Phool makkana,Grocery ,100 g,Pavithram Phool Makhana is sourced from quality lotus seeds and processed to ensure freshness and consistency. Suitable for snacking and a variety of recipes.,Phool makkana,,India,"Store in a cool, dry place away from direct sunlight.",• Light and crunchy • Naturally nutritious • Versatile ingredient • Suitable for snacking • Ideal for everyday consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
107,Kasuri methi,Grocery,50 g,Pavithram Kasuri Methi is prepared from carefully dried fenugreek leaves to deliver authentic aroma and flavour. Ideal for enhancing a variety of dishes.,Kasuri methi,,India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Enhances taste naturally • Traditional culinary ingredient • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
108,Coconut half (copra / dried),Coconut  (copra / dried),1 pcs,"Pavithram Coconut Half (Copra) is prepared from quality mature coconuts and carefully dried to retain its natural flavour and freshness. Suitable for cooking, traditional recipes, and various culinary applications.", Dried Coconut half,"Energy: 360kcal, Total Fat:33g, Saturated fat :29 g,Trans fat:0 g, Carbohydrates: 12g, Protein: 3 g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :8 g Total sugar :3g (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality coconuts • Rich natural flavour • Versatile ingredient • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
109,Coconut Whole ( copra / dried),Coconut ( copra / dried),1 pcs,"Pavithram Coconut Whole (Copra) is prepared from quality mature coconuts and naturally dried to retain its authentic flavour and freshness. Suitable for cooking, traditional recipes, and various culinary applications.", Dried Coconut whole,"Energy: 360kcal, Total Fat:33g, Saturated fat :29 g,Trans fat:0 g, Carbohydrates: 12g, Protein: 3 g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :8 g Total sugar :3g (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality coconuts • Rich natural flavour • Traditional food ingredient • Versatile for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
110,Rice flakes Red,Rice flakes,500 g,Pavithram Red Rice Flakes are prepared from premium-quality red rice and processed under strict quality standards for freshness and consistency. Ideal for traditional breakfast and snack preparations.,Rice flakes Red,,India,"Store in a cool, dry place away from direct sunlight.",• Made from quality red rice • Light and easy to prepare • Traditional breakfast ingredient • Versatile for various recipes • Suitable for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
111,Rice flakes white,Rice flakes ,1 kg,Pavithram White Rice Flakes are processed from quality rice grains to ensure freshness and consistent quality. Suitable for preparing a variety of traditional and quick meals.,Rice flakes white,,India,"Store in a cool, dry place away from direct sunlight.",• Made from quality rice • Light and easy to prepare • Traditional food ingredient • Versatile for various recipes • Ideal for everyday consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
112,Fish Curry Gravy Mix,READY TO COOK,400g,Pavithram Fish Curry Gravy Mix is expertly blended using quality spices and ingredients to help prepare authentic fish curry with ease. Ideal for traditional and everyday cooking.,"CHILLI,TURMERIC,GINGER,GARLIC,BLACK PEPPER,EDIBLE VEGETABLE OIL(SUN FLOWER OIL),KOKUM,PURIFIED WATER,ONION,SALT AND ANTIOXIDANT (E319)",,India,"Store in a cool, dry place away from direct sunlight.",• Rich and authentic flavour • Convenient to use • Saves preparation time • Consistent taste in every serving • Ideal for fish curries,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
113,Butter Chicken Gravy Mix,READY TO COOK,400g,Pavithram Butter Chicken Gravy Mix is crafted with aromatic spices and quality ingredients to deliver rich restaurant-style flavour. Perfect for preparing delicious butter chicken at home.,"WATER,ONION,TOMATO(11%),EDIBLE VEGETABLE OIL(SUNFLOWER OIL)MILK SOLIDS,SPICES AND CONDIMENTS(GINGER,CORIANDER,CHILLI,CARDAMOM,CUMIN,TURMERIC)CASHEW NUTS,SALT,WATER MELON SEED,GARSUGAR",,India,"Store in a cool, dry place away from direct sunlight.",• Rich and creamy flavour • Convenient to use • Saves preparation time • Consistent taste and aroma • Ideal for butter chicken recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
114,Chicken Curry Gravy Mix,READY TO COOK,400g,Pavithram Chicken Curry Gravy Mix is prepared using a balanced blend of spices to create flavourful chicken curries with ease. Suitable for everyday cooking.,"CHILLI,CORIANDER,GINGER,GARLIC,ONION,PURIFIED WATER,EDIBLE VGETABLE OIL(SUN FLOWER OIL),TOMATO,FENNEL,CINNAMON,SALTANDANTIOXIDANT(E319)",,India,"Store in a cool, dry place away from direct sunlight.",• Authentic curry flavour • Convenient to use • Saves preparation time • Rich aroma and taste • Ideal for chicken dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
115,Meat Curry Gravy Mix,READY TO COOK,400g,Pavithram Meat Curry Gravy Mix is blended with selected spices and ingredients to help prepare rich and flavourful meat curries. Perfect for traditional recipes.,"CHILLI,TURMERIC,GINGER,EDIBLE VEGETABLE OIL(SUN FLOWER OIL)KOKUM,PURIFIED WATER,ONION,SALT AND ANTIOXIDANT (E319)",,India,"Store in a cool, dry place away from direct sunlight.",• Rich and authentic flavour • Convenient to use • Enhances taste naturally • Saves preparation time • Ideal for meat curries,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
116,Biriyani Gravy Mix,READY TO COOK,200g,Pavithram Biriyani Gravy Mix is formulated with aromatic spices to help create flavourful biriyani with ease. Ideal for special occasions and everyday cooking.,,,India,"Store in a cool, dry place away from direct sunlight.",• Rich biriyani flavour • Aromatic spice blend • Convenient to use • Saves preparation time • Ideal for biriyani preparation,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
117,Coconut Varuthara Gravy Mix,READY TO COOK,400g,Pavithram Coconut Varutharacha Gravy Mix is prepared using roasted coconut and traditional spices to deliver authentic Kerala-style flavour. Ideal for preparing traditional curries.,,,India,"Store in a cool, dry place away from direct sunlight.",• Authentic Kerala flavour • Rich roasted coconut taste • Convenient to use • Saves preparation time • Ideal for traditional curries,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
118,Tandoori Chicken Masala Paste,READY TO COOK,400g,Pavithram Tandoori Chicken Masala Paste is crafted with a blend of spices and seasonings to deliver authentic tandoori flavour. Perfect for marinating and grilling chicken.,"WATER SPICES AND CONDIMENTS(CHILLI,CUMIN,GINGER,FENNEL,CORIANDER,TURMERIC),CORN STARCH,SALT,MILK SOLIDS,EDIBLE VEGETABLE OIL(MUSTARD OIL),GARLIC,ACIDITY REGLATORS(E270,E451(1),E330AND HERBS)",,India,"Store in a cool, dry place away from direct sunlight.",• Authentic tandoori taste • Ready-to-use paste • Rich flavour and aroma • Easy marination • Ideal for grilling and roasting,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
119,Chicken Tikka Paste,READY TO COOK,400g,"Pavithram Chicken Tikka Paste is blended with aromatic spices to help prepare delicious chicken tikka effortlessly. Suitable for grilling, roasting, and barbecuing.","WATER,EDIBLE VEGETABLE OIL(MUSTARD OIL,SUNFLOWER OIL,SPICES AND CONDIMENTS (CHILLI,GINGER,TURMERIC,CUMIN),GARLIC,SALT,GRAM FLOUR,ACIDITY REGULATOR(E451(1),E330,E260)AND HERBS",,India,"Store in a cool, dry place away from direct sunlight.",• Authentic tikka flavour • Ready-to-use paste • Rich aroma and taste • Easy to prepare • Ideal for grilling and roasting,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
120,Fish Fry Masala Paste,READY TO COOK,400g,Pavithram Fish Fry Masala Paste is prepared using quality spices and seasonings to deliver rich flavour and aroma. Ideal for marinating and frying fish.,"Chilli, Turmeric, Ginger, Garlic, Black Pepper, Purified Water, Onion, Edible Vegetable Oil (Sunflower Oil), Acidity Regulator (E 260), Salt and Antioxidant (E 319).",,India,"Store in a cool, dry place away from direct sunlight.",• Rich and spicy flavour • Ready-to-use paste • Easy marination • Enhances taste naturally • Ideal for fish fry preparations,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
121,Jaggery ball,Jaggery,"500 g,1 kg",Pavithram Jaggery Ball is prepared from quality sugarcane extract and processed under strict quality standards to retain its authentic taste. Ideal for traditional recipes and sweet preparations.,"Sugar Cane Juice
","Energy: 799 KJ , Total Fat: 0.05 g,  Carbohydrates: 49g, Protein: 0.2 g , sodium 0 mg, Total sugar 48g ,Sodium 10 mg (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Natural sweetening option • Rich traditional taste • Suitable for various recipes • Easy to use • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
122,Jaggery cube,Jaggery,"500 g, 1 kg","Pavithram Jaggery Cube is crafted for convenience and consistent quality, making it easy to use in beverages and recipes. Suitable for traditional and modern preparations.","Sugar Cane Juice
","Energy: 15 kcal, Total Fat: 0 g,  Carbohydrates: 4g, Protein: 0 g , sodium 0 mg, Total sugar 4 g (per serving )",India,"Store in a cool, dry place away from direct sunlight.",• Convenient to use • Natural sweetening option • Rich traditional taste • Easy to dissolve • Suitable for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
123,Jaggery powder,Jaggery,"500 g,1 kg","Pavithram Jaggery Powder is finely processed for easy mixing and consistent quality. Perfect for sweet dishes, beverages, and everyday cooking.","Sugar Cane Juice
",,India,"Store in a cool, dry place away from direct sunlight.",• Easy to mix and dissolve • Natural sweetening option • Rich traditional taste • Convenient to use • Suitable for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
124,Palm Candy,Jaggery,200 g,Pavithram Palm Candy is prepared from quality palm sap and processed to ensure purity and freshness. Ideal for beverages and traditional preparations.,,,India,"Store in a cool, dry place away from direct sunlight.",• Natural sweetening option • Mild and pleasant taste • Easy to use • Suitable for beverages • Traditional ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
125,Palm Sugar,Jaggery,500g,Pavithram Palm Sugar is carefully processed to deliver authentic taste and quality. Suitable for sweetening beverages and traditional recipes.,,,India,"Store in a cool, dry place away from direct sunlight.",• Natural sweetening option • Rich traditional flavour • Easy to use • Suitable for various recipes • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
126,Coconut Sugar,Jaggery,500g,Pavithram Coconut Sugar is sourced from quality coconut palm sap and processed to maintain its natural flavour. Ideal for sweetening beverages and desserts.,,,India,"Store in a cool, dry place away from direct sunlight.",• Natural sweetening option • Distinctive flavour • Easy to use • Suitable for beverages and desserts • Traditional ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
127,Palm Jaggery,Jaggery,500g,Pavithram Palm Jaggery is prepared from premium-quality palm sap and processed under strict quality standards. Ideal for traditional recipes and beverages.,,,India,"Store in a cool, dry place away from direct sunlight.",• Rich traditional taste • Natural sweetening option • Suitable for various recipes • Easy to use • Traditional ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
128,Palm Jaggery Powder,Jaggery,400g,"Pavithram Palm Jaggery Powder is finely processed for convenience and consistent quality. Suitable for beverages, desserts, and everyday cooking.",,,India,"Store in a cool, dry place away from direct sunlight.",• Easy to mix and dissolve • Natural sweetening option • Rich traditional flavour • Convenient to use • Suitable for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
129,Matta rice Vadi,Rice,"5 kg , 10 kg, 20 kg",Pavithram Matta Rice Vadi is produced from quality matta rice and processed to maintain its authentic taste and texture. Suitable for traditional Kerala meals.,Rice,,India,"Store in a cool, dry place away from direct sunlight.",• Authentic Kerala rice variety • Rich texture • Suitable for traditional recipes • Consistent quality • Ideal for everyday meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
130,Matta Rice Unda,Rice,"5 kg , 10 kg, 20 kg",Pavithram Matta Rice Unda is prepared from premium-quality matta rice and processed under strict quality standards. Ideal for traditional cooking.,Rice,,India,"Store in a cool, dry place away from direct sunlight.",• Authentic traditional rice • Rich texture and flavour • Suitable for daily meals • Consistent quality • Ideal for Kerala cuisine,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
131,Idly Rice,Rice,"5 kg , 10 kg, 20 kg",Pavithram Idly Rice is carefully processed to help prepare soft and fluffy idlis. Suitable for traditional breakfast preparations.,Rice,,India,"Store in a cool, dry place away from direct sunlight.",• Ideal for idli preparation • Consistent cooking results • Quality rice grains • Suitable for breakfast recipes • Easy to use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
132,Ponni Boiled Rice,Rice,"5 kg , 10 kg, 20 kg",Pavithram Ponni Boiled Rice is sourced from quality paddy and processed to ensure consistency and freshness. Suitable for everyday meals.,Rice,,India,"Store in a cool, dry place away from direct sunlight.",• Soft and fluffy texture • Suitable for daily meals • Consistent quality • Easy to cook • Ideal for South Indian cuisine,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
133,Ponni Raw Rice,Rice,"5 kg , 10 kg, 20 kg",Pavithram Ponni Raw Rice is processed from premium-quality rice grains to deliver excellent taste and texture. Suitable for a variety of dishes.,Rice,,India,"Store in a cool, dry place away from direct sunlight.",• Fine texture and taste • Suitable for everyday cooking • Consistent quality • Easy to prepare • Versatile rice variety,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
134,Jeerakasala Rice,Rice,"5 kg , 10 kg, 20 kg",Pavithram Jeerakasala Rice is a premium aromatic rice variety known for its unique fragrance and texture. Ideal for biriyani and special dishes.,Rice,"Energy: 157 kcal, Total Fat: 0.27g,  Carbohydrates: 35.55g, Protein: 3.15 g , sodium 6.7 mg, Total sugar 0.36 g, Dietary fibre 1.17 g (per serving )",India,"Store in a cool, dry place away from direct sunlight.",• Naturally aromatic • Premium rice variety • Ideal for biriyani • Excellent texture • Suitable for special occasions,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
135,Sona Masoori - raw,Rice,"5 kg , 10 kg, 20 kg",Pavithram Sona Masoori Raw Rice is sourced from quality rice grains and processed to maintain freshness and purity. Suitable for everyday cooking.,Rice,,India,"Store in a cool, dry place away from direct sunlight.",• Lightweight rice variety • Soft texture after cooking • Suitable for daily meals • Consistent quality • Easy to cook,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
136,,,,,,,,,,,,,
137,,,,,,,,,,,,,
138,,,,,,,,,,,,,